Cacicus cela 
Pteroglossus aracari
Tangara episcopus
Dacnis cayana
Ramphastos tucanus 
Tangara palmarum
Pionus fuscus
Trogon melanurus
Glyphorynchus spirurus
Cyclarhis gujanensis
Lipaugus vociferans
Pionites melanocephalus
Aramides cajaneus
Ramphastos vitellinus 
Cathartes aura 
Turdus leucomelas 
Amazona farinosa
Thamnophilus punctatus
Thamnomanes ardesiacus
Euphonia violacea
Pithys albifrons
Tachycineta albiventer 
Mionectes macconnelli
Hypocnemis cantator
Leptotila rufaxilla
Dacnis lineata 
Tyrannus melancholicus 
Trogon viridis
Manacus manacus
Geotrygon montana
Piaya cayana
Myiopagis gaimardii
Chloroceryle americana
Trogon violaceus 
Bucco capensis 
Myrmotherula surinamensis
Myiarchus ferox
Phaethornis sp
Thamnophilus murinus 
Dryocopus lineatus 
Formicarius colma
Micrastur semitorquatus 
Isleria guttata 
Selenidera piperivora 
Rhynchocyclus olivaceus
Onychorhynchus coronatus 
Hylocharis cyanus
Celeus undatus
Hylophilus thoracicus
Pipra aureola
Ceratopipra erythrocephala
Attila spadiceus
Patagioenas plumbea
Xiphorhynchus guttatus
Dendrocincla fuliginosa 
Tolmomyias assimilis
Myrmotherula brachyura
Trogon rufus 
Lepidothrix serena 
Automolus infuscatus
Dixiphia pipra
Turdus sp
Leucopternis melanops
Vireo chivi
Coragyps atratus 
Myrmoderus ferrugineus 
Campephilus rubricollis
